,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17
45,196.34375,247.78125,2202.625,532.26171875,1104.0078125,2803680.5,235.65625,266.96875,313.5625,317.40625,535.46875,3191969.5,936.4375,651.73828125,680.71875,1092.03125,548.59375,874649.75
46,203.78125,253.40625,2242.875,544.82421875,1127.6328125,2865249.25,241.5,273.03125,320.6875,325.3125,549.84375,3264645.25,958.8125,666.30078125,694.71875,1113.53125,558.09375,894186.9375
47,205.71875,259.34375,2287.375,558.13671875,1153.3828125,2927176.5,246.5625,279.1875,328.0625,332.46875,563.40625,3336502.25,979.8125,680.80078125,712.46875,1141.28125,572.46875,913753.25
48,211.8125,265.3125,2338.625,569.63671875,1178.7578125,2989360.5,251.25,285.0625,334.53125,340.1875,578.71875,3410554.75,999.6875,696.73828125,726.21875,1167.53125,584.84375,933158.6875
49,218.90625,270.71875,2388.875,586.63671875,1202.3828125,3051611.5,256.3125,292.0625,342.375,347.59375,592.96875,3482444.5,1022.3125,712.23828125,739.78125,1196.90625,596.90625,952568.625
50,222.125,274.75,2437.375,598.51171875,1229.7578125,3114853.0,261.3125,296.40625,349.59375,355.03125,607.71875,3554797.5,1047.1875,727.23828125,757.65625,1221.53125,610.59375,972051.875
51,226.9375,278.84375,2484.375,616.38671875,1255.0078125,3179305.5,267.5,305.46875,357.0625,362.90625,622.90625,3627568.5,1068.9375,742.73828125,772.78125,1239.90625,621.03125,991466.625
52,233.53125,283.9375,2549.375,625.57421875,1277.8828125,3244539.0,272.65625,307.890625,365.375,371.65625,637.65625,3700562.0,1084.125,755.36328125,780.90625,1268.53125,632.78125,1010773.125
53,237.390625,288.1875,2591.125,638.44921875,1301.7578125,3308577.75,277.21875,313.984375,374.1875,379.40625,650.59375,3773896.0,1108.375,769.23828125,797.90625,1290.15625,648.28125,1030247.625
54,241.0625,295.0,2645.625,646.13671875,1323.5078125,3373146.5,283.875,320.390625,379.84375,385.59375,655.59375,3847954.5,1120.1875,784.17578125,812.59375,1317.65625,655.21875,1049762.875
55,249.0625,300.46875,2693.125,660.51171875,1347.7578125,3436529.0,289.4375,328.390625,387.96875,394.09375,667.09375,3922575.0,1142.0625,799.48828125,829.84375,1338.40625,670.03125,1069148.125
56,255.84375,304.90625,2737.125,674.38671875,1370.8828125,3499767.0,294.34375,335.671875,395.53125,402.21875,683.84375,3998131.5,1163.5625,813.23828125,843.84375,1360.03125,685.59375,1088557.375
57,262.4375,309.9375,2788.625,687.44921875,1397.0078125,3562816.75,300.28125,343.140625,403.375,410.0,696.65625,4073833.5,1188.8125,829.61328125,860.09375,1387.65625,696.40625,1108069.375
58,269.78125,315.21875,2848.625,699.13671875,1422.6328125,3625885.0,305.375,349.484375,408.84375,418.375,711.78125,4149766.0,1208.1875,844.98828125,873.78125,1414.90625,708.15625,1127449.625
59,273.40625,322.0625,2911.875,708.32421875,1444.8828125,3688556.0,312.21875,355.609375,414.0625,424.15625,716.34375,4225404.0,1220.5625,858.30078125,888.15625,1442.78125,719.78125,1146754.25
60,277.03125,328.9375,2975.125,717.44921875,1467.2578125,3750259.25,318.875,361.046875,419.1875,429.5,720.46875,4300985.0,1232.5,871.80078125,902.90625,1468.65625,731.46875,1166246.75
61,280.703125,335.71875,3029.375,725.26171875,1489.2578125,3811295.5,325.9375,368.328125,424.8125,436.5625,729.84375,4376340.5,1246.0625,885.73828125,916.03125,1491.65625,740.40625,1185714.75
62,285.359375,340.21875,3074.375,739.38671875,1518.0078125,3871432.25,331.5625,374.234375,431.890625,443.15625,744.90625,4451867.0,1271.5625,899.98828125,931.40625,1518.03125,753.78125,1205102.25
63,291.234375,345.1875,3123.875,751.44921875,1544.2578125,3932435.25,336.9375,379.703125,440.015625,451.15625,760.90625,4527311.0,1296.5625,915.61328125,946.90625,1539.65625,765.78125,1224527.25
64,293.671875,349.4375,3164.375,768.19921875,1568.8828125,3994024.0,341.5625,387.234375,447.578125,458.875,772.34375,4603114.0,1320.4375,930.23828125,963.65625,1564.65625,782.15625,1244077.0
65,298.859375,354.375,3217.125,782.13671875,1594.1328125,4056251.0,346.3125,393.078125,455.640625,466.1875,787.15625,4678594.0,1345.3125,946.98828125,980.65625,1589.03125,792.46875,1263487.5
66,300.6875,359.59375,3259.125,794.38671875,1620.5078125,4119116.0,352.15625,398.890625,463.84375,474.4375,800.53125,4753178.5,1368.8125,960.86328125,998.15625,1607.53125,804.84375,1282870.5
67,305.625,363.8125,3306.375,810.07421875,1645.1328125,4181753.0,357.6875,407.515625,473.34375,482.125,814.03125,4827163.0,1392.0625,974.73828125,1015.40625,1631.28125,819.34375,1302365.5
68,309.4375,369.84375,3366.125,818.88671875,1667.0078125,4244132.0,364.40625,412.546875,479.03125,487.15625,818.21875,4900901.0,1403.375,989.48828125,1031.15625,1654.03125,831.09375,1321808.0
69,316.71875,375.46875,3424.125,831.88671875,1691.6328125,4305463.0,369.96875,419.390625,485.875,494.96875,834.71875,4974578.5,1426.0,1004.11328125,1045.96875,1682.65625,841.78125,1341144.5
70,322.0,379.046875,3465.375,846.38671875,1720.0078125,4366998.0,374.75,423.640625,491.3125,502.34375,850.96875,5047991.5,1446.875,1018.86328125,1060.15625,1714.65625,856.78125,1360533.25
71,327.5625,385.203125,3516.125,854.38671875,1737.5078125,4429228.5,379.0625,431.421875,500.5625,508.6875,864.03125,5122262.0,1462.125,1035.11328125,1072.03125,1744.78125,871.84375,1380039.625
72,327.83984375,390.484375,3559.375,871.13671875,1762.2578125,4491724.5,384.5625,440.296875,508.125,516.25,878.40625,5196379.5,1484.0,1050.17578125,1088.65625,1766.03125,885.90625,1399447.125
73,328.515625,396.109375,3602.125,884.69921875,1787.0078125,4554150.5,389.6875,447.796875,516.625,523.84375,892.59375,5270306.0,1507.75,1064.48828125,1105.65625,1792.03125,901.65625,1418870.0
74,332.03125,403.171875,3659.375,893.88671875,1809.2578125,4616923.0,396.625,454.828125,521.96875,529.9375,896.578125,5343768.5,1520.125,1077.92578125,1121.09375,1812.65625,912.96875,1438393.125
75,337.6171875,409.171875,3705.625,906.13671875,1834.3828125,4679017.0,401.40625,460.890625,529.875,537.21875,913.078125,5417456.0,1547.25,1092.86328125,1134.90625,1842.03125,924.46875,1457894.5
76,343.8671875,415.140625,3761.375,920.94921875,1856.1328125,4741462.5,406.53125,467.453125,539.4375,544.96875,928.453125,5490277.5,1570.875,1108.61328125,1150.46875,1867.40625,937.90625,1477269.0
77,347.4765625,420.359375,3803.375,933.32421875,1882.6328125,4804434.5,412.375,473.546875,549.625,553.21875,941.890625,5562817.0,1594.25,1122.36328125,1168.09375,1885.40625,950.09375,1496732.0
78,353.6640625,426.890625,3852.875,944.94921875,1908.1328125,4867349.5,416.8125,479.328125,556.59375,560.90625,957.765625,5635061.0,1616.875,1137.80078125,1184.84375,1907.78125,961.40625,1516263.25
79,359.2890625,433.984375,3910.375,954.01171875,1930.3828125,4931185.0,423.625,486.015625,562.09375,566.84375,961.796875,5706573.5,1629.375,1151.36328125,1200.28125,1929.40625,972.96875,1535624.125
80,361.6484375,438.140625,3957.875,970.26171875,1957.7578125,4994407.0,429.4375,492.328125,571.15625,574.40625,974.234375,5778353.5,1654.875,1163.86328125,1215.65625,1954.28125,983.90625,1555070.625
81,363.3984375,442.953125,4009.875,981.19921875,1986.3828125,5057788.0,434.4375,498.265625,577.53125,582.3125,988.671875,5849395.0,1677.625,1180.98828125,1231.90625,1984.28125,995.96875,1574546.0
82,368.6796875,448.578125,4068.375,994.19921875,2011.0078125,5121406.5,440.0625,505.203125,584.59375,590.3125,1005.171875,5920563.5,1699.75,1195.42578125,1246.78125,2012.40625,1007.34375,1594029.875
83,370.7421875,453.921875,4118.375,1008.57421875,2037.7578125,5185160.0,444.875,512.515625,593.09375,597.8125,1019.234375,5991309.0,1722.875,1210.61328125,1264.78125,2041.03125,1019.84375,1613339.0
84,376.8984375,459.171875,4161.875,1023.57421875,2068.0078125,5248933.5,449.5625,514.921875,601.34375,604.8125,1033.984375,6062102.0,1747.125,1223.98828125,1277.40625,2065.03125,1034.40625,1632763.375
85,381.8984375,465.953125,4216.375,1031.26171875,2089.8828125,5312878.0,455.90625,520.421875,606.59375,610.46875,1037.484375,6132087.0,1758.8125,1238.23828125,1292.90625,2088.03125,1043.15625,1652251.5
86,387.8984375,470.359375,4263.375,1044.57421875,2111.6328125,5375959.0,459.15625,524.140625,614.96875,618.71875,1048.109375,6202575.0,1779.0625,1249.23828125,1306.71875,2104.78125,1057.53125,1671593.875
87,389.1796875,476.640625,4305.875,1055.26171875,2140.0078125,5439614.5,463.875,530.609375,622.25,625.96875,1063.234375,6273253.0,1801.8125,1263.36328125,1323.46875,2135.40625,1074.03125,1690976.625
88,391.2109375,481.640625,4355.625,1066.13671875,2166.8828125,5503660.0,468.65625,536.390625,630.125,633.375,1076.921875,6344292.0,1824.4375,1276.86328125,1339.96875,2163.15625,1089.46875,1710468.375
