,layer0,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17
114,11712.0,14528.0,19072.0,4640.0,7712.0,19136512.0,668.0,1020.0,3856.0,2288.0,7296.0,15269888.0,7840.0,4192.0,6784.0,8128.0,10304.0,3817472.0
115,11840.0,14528.0,19200.0,4704.0,7776.0,19267584.0,676.0,1032.0,3888.0,2304.0,7424.0,15400960.0,7904.0,4256.0,6816.0,8160.0,10368.0,3850240.0
116,12032.0,14656.0,19456.0,4736.0,7776.0,19398656.0,684.0,1056.0,3952.0,2320.0,7520.0,15532032.0,7968.0,4288.0,6848.0,8192.0,10432.0,3883008.0
117,12160.0,14848.0,19712.0,4768.0,7840.0,19529728.0,692.0,1080.0,4000.0,2320.0,7584.0,15663104.0,8032.0,4256.0,6912.0,8256.0,10496.0,3915776.0
118,12224.0,15104.0,19840.0,4832.0,7936.0,19660800.0,700.0,1096.0,4048.0,2336.0,7680.0,15794176.0,8064.0,4256.0,6944.0,8320.0,10560.0,3948544.0
119,12288.0,15296.0,19968.0,4864.0,8032.0,19791872.0,708.0,1120.0,4096.0,2352.0,7776.0,15925248.0,8096.0,4288.0,6976.0,8384.0,10624.0,3981312.0
120,12480.0,15488.0,20224.0,4928.0,8128.0,19922944.0,716.0,1128.0,4128.0,2368.0,7840.0,16056320.0,8160.0,4288.0,7104.0,8384.0,10624.0,4014080.0
121,12416.0,15488.0,20352.0,4928.0,8160.0,20054016.0,724.0,1128.0,4160.0,2400.0,7840.0,16187392.0,8192.0,4352.0,7200.0,8576.0,10752.0,4046848.0
122,12608.0,15616.0,20608.0,4960.0,8256.0,20185088.0,728.0,1136.0,4224.0,2432.0,7936.0,16318464.0,8256.0,4352.0,7200.0,8640.0,10816.0,4079616.0
123,12736.0,15680.0,20736.0,5024.0,8384.0,20316160.0,736.0,1152.0,4256.0,2432.0,8032.0,16449536.0,8320.0,4416.0,7296.0,8704.0,10880.0,4112384.0
124,12928.0,15680.0,20864.0,5056.0,8512.0,20447232.0,740.0,1168.0,4256.0,2448.0,8128.0,16580608.0,8448.0,4448.0,7360.0,8768.0,10944.0,4145152.0
125,13120.0,15808.0,21248.0,5120.0,8576.0,20578304.0,752.0,1192.0,4320.0,2464.0,8192.0,16711680.0,8576.0,4512.0,7392.0,8832.0,11072.0,4177920.0
126,13376.0,15872.0,21504.0,5216.0,8640.0,20709376.0,760.0,1208.0,4352.0,2480.0,8256.0,16908288.0,8640.0,4512.0,7456.0,8960.0,11136.0,4227072.0
127,13696.0,16064.0,21760.0,5344.0,8704.0,20840448.0,768.0,1224.0,4416.0,2496.0,8320.0,17039360.0,8704.0,4544.0,7520.0,9024.0,11264.0,4259840.0
128,13760.0,16128.0,21888.0,5408.0,8768.0,20971520.0,772.0,1232.0,4448.0,2528.0,8384.0,17170432.0,8704.0,4576.0,7552.0,9088.0,11328.0,4292608.0
129,13760.0,16320.0,22016.0,5536.0,8832.0,21102592.0,780.0,1240.0,4512.0,2544.0,8448.0,17301504.0,8832.0,4608.0,7584.0,9088.0,11328.0,4325376.0
130,13760.0,16384.0,22144.0,5536.0,8832.0,21233664.0,784.0,1240.0,4544.0,2576.0,8448.0,17432576.0,8896.0,4672.0,7648.0,9280.0,11456.0,4358144.0
131,14016.0,16512.0,22400.0,5632.0,8896.0,21364736.0,792.0,1256.0,4608.0,2592.0,8576.0,17563648.0,8960.0,4736.0,7680.0,9280.0,11520.0,4390912.0
132,14144.0,16640.0,22656.0,5696.0,9024.0,21495808.0,800.0,1272.0,4672.0,2608.0,8640.0,17694720.0,9024.0,4736.0,7840.0,9216.0,11456.0,4423680.0
133,14144.0,16640.0,22784.0,5696.0,9088.0,21626880.0,804.0,1264.0,4672.0,2640.0,8640.0,17825792.0,9088.0,4800.0,7936.0,9344.0,11584.0,4456448.0
134,14208.0,16896.0,22912.0,5760.0,9152.0,21757952.0,812.0,1280.0,4704.0,2656.0,8704.0,17956864.0,9088.0,4800.0,7968.0,9408.0,11648.0,4489216.0
